1 党的机关、国家机关、群众团体和社会组织、企事业单位负责人
6.20.01.01 装配钳工
6.20.01.02 轴承制造工
6.20.01.03 齿轮制造工
6.20.01.04 减变速机装配调试工
6.20.01.05 链传动部件制造工
6.20.01.06 紧固件制造工
6.20.01.07 弹簧工
6.20.02 锅炉及原动设备制造人员
6.20.02.01 锅炉设备制造工
6.20.02.02 内燃机装配调试工
6.20.02.03 汽轮机装配调试工
6.20.02.04 风电机组制造工L
6.20.03 金属加工机械制造人员
6.20.03.01 机床装调维修工
6.20.03.02 焊接设备装配调试工
6.20.03.03 焊接材料制造工
6.20.04 物料搬运设备制造人员
6.20.04.00 电梯装配调试工
6.20.05 泵、压缩机、阀门及类似机械制造人员
6.20.05.01 泵装配调试工
6.20.05.02 真空设备装配调试工
6.20.05.03 压缩机装配调试工
6.20.05.04 风机装配调试工
6.20.05.05 过滤与分离机械装配调试工
6.20.05.06 气体分离设备装配调试工
6.20.05.07 制冷空调设备装配工
6.20.05.08 阀门装配调试工
6.20.05.09 液压液力气动密封件制造工
6.20.06 烘炉、水处理、衡器等设备制造人员
6.20.06.01 工业炉及电炉装配工
6.20.06.02 膜法水处理材料和设备制造工
6.20.06.03 电渗析器制造工
6.20.06.04 电动工具制造工
6.20.06.05 衡器装配调试工
6.20.07.01 电影电教设备制造工
6.20.07.02 照相机及器材制造工
6.20.07.03 复印设备制造工
6.20.07.04 办公小机械制造工
6.20.07.05 光学零件制造工
6.20.07.06 静电成像设备耗材制造工
6.20.99 其他通用设备制造人员
6.21 专用设备制造人员
6.21.01  采矿、建筑专用设备制造人员
6.21.01.01 矿用电机车装配工
6.21.01.02 工程机械装配调试工
6.21.02 印刷生产专用设备制造人员
6.21.02.00 印刷设备装配调试工
6.21.03 纺织服装和皮革加工专用设备制造人员
6.21.03.00 缝制机械装配调试工
6.21.04 电子专用设备装配调试人员
6.21.04.01 电子专用设备装调工
6.21.04.02 真空测试工
6.21.05 农业机械制造人员
6.21.05.01 拖拉机制造工
6.21.05.02 耕种机械制造工
6.21.05.03 灌溉机械制造工
6.21.05.04 收获机械制造工
6.21.06 医疗器械制品和康复辅具生产人员
6.21.06.01 医疗器械装配工
6.21.06.02 矫形器装配工
6.21.06.03 假肢装配工
6.21.06.04 医用材料产品生产工
6.21.99 其他专用设备制造人员
6.22 汽车制造人员
6.22.01 汽车零部件、饰件生产加工人员
6.22.01.01 汽车生产线操作工
6.22.01.02 汽车饰件制造工
6.22.01.03 汽车零部件再制造工 L
6.22.02 汽车整车制造人员
6.22.02.01 汽车装调工
6.22.02.02 汽车回收拆解工L
6.22.99 其他汽车整车制作人员
6.23 铁路、船舶、航空设备制造人员
6.23.01 轨道交通运输设备制造人员
6.23.01.01 铁路机车制修工
6.23.01.02 铁路车辆制修工
6.23.01.03 动车组制修师
6.23.01.04 铁路机车车辆制动钳工
6.23.01.05 道盆钳工
6.23.02 船舶制造人员
6.23.02.01 金属船体制造工
6.23.02.02 船舶机械装配工
6.23.02.03 船舶电气装配工
6.23.02.04 船舶附件制造工
6.23.02.05 船舶木塑帆缆制造工
6.23.02.06 拆船工L
6.23.03 航空产品装配、调试人员
6.23.03.01 飞机装配工
6.23.03.02 飞机系统安装调试工
6.23.03.03 航空发动机装配工
6.23.03.04 航空螺旋浆装配工
6.23.03.05 航空电气安装调试工
6.23.03.06 航空附件装配工
6.23.03.07 航空仪表装配工
6.23.03.08 航空装配平衡工
6.23.03.09 飞机无线电设备安装调试工
6.23.03.10 飞机雷达安装调试工
6.23.03.11 飞机特种设备检测与修理工
6.23.03.12 飞机透明件制造胶接装配工
6.23.03.13 飞机外场调试与维护工
6.23.03.14 航空环控救生装备工
6.23.04 摩托车、自行车制造人员
6.23.04.01 摩托车装调工
6.23.04.02 自行车与电动自行车装配工
6.23.99 其他铁路、船舶、航空设备制造人员
6.24 电气机械和器材制造人员
6.24.01 电机制造人员
6.24.01.00 电机制造工
6.24.02 输配电及控制设备制造人员
6.24.02.01 变压器互感器制造工
6.24.02.02 高低压电器及成套设备装配工
6.24.02.03 电力电容器及其装置制造工
6.24.02.04 光伏组件制造工L
6.24.03 电线电缆、光纤光缆及电工器材制造人员
6.24.03.01 电线电缆制造工
6.24.03.02 光纤光缆制造工
6.24.03.03 绝缘制品制造工
6.24.03.04 电工合金电触头制造工
6.24.03.05 电器附件制造工
6.24.04 电池制造人员
6.24.04.00 电池制造工
6.24.05 家用电力器具制造人员
6.24.05.01 家用电冰箱制造工
6.24.05.02 空调器制造工
6.24.05.03 洗衣机制造工
6.24.05.04 小型家用电器制造工
6.24.06 非电力家用器具制造人员
6.24.06.00 燃气具制造工
6.24.07 照明器具制造人员
6.24.07.01 电光源制造工
6.24.07.02 灯具制造工
6.24.08 电气信号设备装置制造人员
6.24.08.00 轨道交通通信信号设备制造工
6.24.99 其他电气机械和器材制造人员
6.25 计算机、通信和其他电子设备制造人员
6.25.01 电子元件制造人员
6.25.01.01 电容器制造工
6.25.01.02 电阻器制造工
6.25.01.03 微波铁氧体元器件制造工
6.25.01.04 石英晶体生长设备操作工
6.25.01.05 压电石英晶片加工
6.25.01.06 石英晶体元器件制造工
6.25.01.07 电声器件制造工
6.25.01.08 水声换能器制造工
6.25.01.09 继电器制造工
6.25.01.10 高频电感器制造工
6.25.01.11 电器接插件制造工
6.25.01.12 电子产品制版工
6.25.01.13 印制电路制作工
6.25.01.14 薄膜加热器件制造工
6.25.01.15 温差电器件制造工
6.25.01.16 电子绝缘与介质材料制造工
6.25.02 电子器件制造人员
6.25.02.01 真空电子器件零器件制造人员件制造及装调工
6.25.02.02 电极丝制造工
6.25.02.03 液晶显示器件制造工
6.25.02.04 晶片加工工
6.25.02.05 半导体芯片制造工
6.25.02.06 半导体分立器件和集成电路装调工
6.25.02.07 磁头制造工
6.25.03 计算机制造人员
6.25.03.00 计算机及外部设备装配调试员
6.25.04 电子设备装配调试人员
6.25.04.01 通信系统设备制造工
6.25.04.02 通信终端设备制造工
6.25.04.03 雷达装调工
6.25.04.04 激光头制造工
6.25.04.05 激光机装调工
6.25.04.06 广电和通信设备机械装校工
6.25.04.07 广电和通信设备电子装接工
6.25.04.08 广电和通信设备调试工
6.25.99 其他计算机、通信和其他电子设备制造人员
6.26 仪器仪表制造人员
6.26.01 仪器仪表装配人员
6.26.01.01 仪器仪表制造工
6.26.01.02 钟表及计时仪器制造工
6.26.99 其他仪器仪表制造人员
6.27 废弃资源综合利用人员
6.27.01 废料和碎屑加工处理人员
6.27.01.00 废旧物资加工处理工L
6.27.99 其他废弃资源综合利用人员
6.28 电力、热力、气体、水生产和输配人员
6.28.01 电力、热力生产和供应人员
6.28.01.01 锅炉运行值班员
6.28.01.02 燃料值班员
6.28.01.03 汽轮机运行值班员
6.28.01.04 燃气轮机值班员
6.28.01.05 发电集控值班员
6.28.01.06 电气值班员
6.28.01.07 火电厂氢冷值班员
6.28.01.08 余热余压利用系统操作工L
6.28.01.09 水力发电运行值班员L
6.28.01.10 光伏发电运维值班员L
6.28.01.11 锅炉操作工
6.28.01.12 风力发电运维值班员 L
6.28.01.13 供热管网系统运行工
6.28.01.14 变配电运行值班员
6.28.01.15 继电保护员
6.28.02 气体生产、处理和输送人员
6.28.02.01 燃气储运工
6.28.02.02 气体深冷分离工
6.28.02.03 工业气体生产工
6.28.02.04 工业气体液化工
6.28.02.05 工业废气治理工L
6.28.02.06 压缩机操作工
6.28.02.07 风机操作工
6.28.03 水生产、输排和水处理人员
6.28.03.01 水生产处理工L
6.28.03.02 水供应输排工L
6.28.03.03 工业废水处理工L
6.28.03.04 司泵工
6.28.99 其他电力、热力、气体、水生产和输配人员
6.29 建筑施工人员
6.29.01 房屋建筑施工人员
6.29.01.01 砌筑工
6.29.01.02 石工
6.29.01.03 混凝土工
6.29.01.04 钢筋工
6.29.01.05 架子工
6.29.02 土木工程建筑施工人员
6.29.02.01 铁路自轮运转设备工
6.29.02.02 铁路线桥工
6.29.02.03 筑路工
6.29.02.04 公路养护工
6.29.02.05 桥隧工
6.29.02.06 凿岩工
6.29.02.07 爆破工
6.29.02.08 防水工
6.29.02.09 水运工程施工工
6.29.02.10 水工建构筑物维护检修工
6.29.02.11 电力电缆安装运维工
6.29.02.12 送配电线路工
6.29.02.13 牵引电力线路安装维护工
6.29.02.14 舟桥工
6.29.02.15 管道工
6.29.03 建筑安装施工人员
6.29.03.01 机械设备安装工
6.29.03.02 电气设备安装工
6.29.03.03 电梯安装维修工
6.29.03.04 管工
6.29.03.05 制冷空调系统安装维修工
6.29.03.06 锅炉设备安装工
6.29.03.07 发电设备安装工
6.29.03.08 电力电气设备安装工
6.29.03.09 轨道交通通信工
6.29.03.10 轨道交通信号工
6.29.04 建筑装饰人员
6.29.04.01 装饰装修工
6.29.04.02 建筑门窗幕墙安装工
6.29.04.03 照明工程施工员
6.29.05 古建筑修建人员
6.29.05.00 古建筑工
6.29.99 其他建筑施工人员
6.30  运输设备和通用工程机械操作人员及有关人员
6.30.01  专用车辆操作人员
6.30.01.00 专用车辆驾驶员
6.30.02 轨道交通运输机械设备操作人员
6.30.02.01 铁路车站行车作业员
6.30.02.02 铁路车站调车作业员
6.30.02.03 机车调度值班员
6.30.02.04 机车整备员
6.30.02.05 救授机械操作员
6.30.02.06 铁路试验检测设备维修工
6.30.02.07 铁路电源工
6.30.03 民用航空设备操作人员及有关人员
6.30.03.01 航空通信导航监视员
6.30.03.02 民航机场专用设备机务员
6.30.03.03 航空油料员
6.30.04 水上运输设备操作人员及有关人员
6.30.04.01 船舶甲板设备操作工
6.30.04.02 船舶机舱设备操作工
6.30.04.03 船闸及升船机运管员
6.30.04.04 潜水员
6.30.05 通用工程机械操作人员
6.30.05.01 起重装卸机械操作工
6.30.05.02 起重工
6.30.05.03 输送机操作工
6.30.05.04 索道运输机械操作工
6.30.05.05 挖掘铲运和桩工机械司机
6.30.99 其他运输设备和通用工程机械操作人员及有关人员
6.31 生产辅助人员
6.31.01 机械设备修理人员
6.31.01.01 设备点检员
6.31.01.02 机修钳工
6.31.01.03 电工
6.31.01.04 仪器仪表维修工
6.31.01.05 锅炉设备检修工
6.31.01.06 汽轮机和水轮机检修工
6.31.01.07 发电机检修工
6.31.01.08 变电设备检修工
6.31.01.09 工程机械维修工
6.31.02 船舶、民用航空器修理人员
6.31.02.01 船舶修理
6.31.02.02 民用航空器机械维护员
6.31.02.03 民用航空器部件修理员
6.31.03 检验试验人员
6.31.03.01 化学检验员
6.31.03.02 物理性能检验员
6.31.03.03 生化检验员
6.31.03.04 无损检测员
6.31.03.05 质检员
6.31.03.06 试验员
6.31.04 称重计量人员
6.31.04.00 称重计量工
6.31.05 包装人员
6.31.05.00 包装工
6.31.06 安全生产管理人员
6.31.06.00 安全员
6.31.99 其他生产辅助人员
6.99 其他生产制造及有关人员
6.99.00 其他生产制造及有关人员
7 军人
7.00 军人
7.00.00 军人
7.00.00.00 军人
8 不便分类的其他从业人员
8.00 不便分类的其他从业人员
8.00.00 不便分类的其他从业人员
8.00.00.00 不便分类的其他从业人员
