好的结果：382
幼儿语言教育 -- 中国语言文学类(编码：05.01，可信度:61.5%);历史学类(编码：06.01，可信度:49.23%);教育学(编码：04，可信度:48.83%)
学前儿童体育教育 -- 教育学类(编码：04.01，可信度:61.47%);数学类(编码：07.01，可信度:53.88%);教育学(编码：04，可信度:52.37%)
会计电算化B -- 工商管理类(编码：12.02，可信度:59.41%);旅游管理类(编码：12.09，可信度:26.93%);电子商务类(编码：12.08，可信度:25.9%)
美学与美育 -- 外国语言文学类(编码：05.02，可信度:56.64%);护理学类(编码：10.11，可信度:51.27%);林学类(编码：09.05，可信度:41.15%)
农村政策分析 -- 药学类(编码：10.07，可信度:72.39%);心理学类(编码：07.11，可信度:28.05%);林学类(编码：09.05，可信度:28.0%)
战略管理 -- 管理学(编码：12，可信度:74.69%);物流管理与工程类(编码：12.06，可信度:49.35%);艺术学理论类(编码：13.01，可信度:36.01%)
财务管理(旅游) -- 旅游管理类(编码：12.09，可信度:62.53%);农学(编码：09，可信度:48.58%);工商管理类(编码：12.02，可信度:34.88%)
中学历史教材教法 -- 历史学(编码：06，可信度:78.7%);马克思主义理论类(编码：03.05，可信度:60.61%);历史学类(编码：06.01，可信度:53.89%)
企业物流管理 -- 物流管理与工程类(编码：12.06，可信度:70.63%);管理学(编码：12，可信度:58.95%);农业经济管理类(编码：12.03，可信度:45.82%)
社会行政 -- 社会学类(编码：03.03，可信度:50.46%);政治学类(编码：03.02，可信度:40.88%);公共管理类(编码：12.04，可信度:37.24%)
财务会计 -- 工商管理类(编码：12.02，可信度:66.0%);统计学类(编码：07.12，可信度:37.67%);经济学类(编码：02.01，可信度:37.1%)
影视文学 -- 戏剧与影视学类(编码：13.03，可信度:71.05%);文学(编码：05，可信度:67.46%);音乐与舞蹈学类(编码：13.02，可信度:45.68%)
现代公共关系学 -- 公共管理类(编码：12.04，可信度:52.45%);旅游管理类(编码：12.09，可信度:48.74%);电子商务类(编码：12.08，可信度:32.32%)
文化学概论 -- 中国语言文学类(编码：05.01，可信度:62.59%);电子商务类(编码：12.08，可信度:22.7%);农业经济管理类(编码：12.03，可信度:19.99%)
国际金融(新) -- 金融学类(编码：02.03，可信度:64.71%);农业经济管理类(编码：12.03，可信度:37.99%);物流管理与工程类(编码：12.06，可信度:35.25%)
台湾历史文化 -- 中国语言文学类(编码：05.01，可信度:64.91%);历史学(编码：06，可信度:64.18%);历史学类(编码：06.01，可信度:53.95%)
文学创作论 -- 文学(编码：05，可信度:92.05%);中国语言文学类(编码：05.01，可信度:49.69%);戏剧与影视学类(编码：13.03，可信度:45.62%)
商业银行经营与管理 -- 物流管理与工程类(编码：12.06，可信度:55.91%);管理学(编码：12，可信度:54.23%);管理科学与工程类(编码：12.01，可信度:43.4%)
现代政治学 -- 马克思主义理论类(编码：03.05，可信度:60.87%);政治学类(编码：03.02，可信度:57.38%);哲学类(编码：01.01，可信度:38.51%)
幼儿园组织与管理 -- 管理学(编码：12，可信度:56.83%);旅游管理类(编码：12.09，可信度:51.52%);物流管理与工程类(编码：12.06，可信度:46.54%)



不好的结果：122
导游学 -- 旅游管理类(编码：12.09，可信度:9.43%);财政学类(编码：02.02，可信度:8.64%);图书情报与档案管理类(编码：12.05，可信度:8.11%)
组织行为学(新) -- 工商管理类(编码：12.02，可信度:42.9%);电子商务类(编码：12.08，可信度:31.16%);旅游管理类(编码：12.09，可信度:27.38%)
变态心理学 -- 民族学类(编码：03.04，可信度:11.5%);农学(编码：09，可信度:11.2%);农业经济管理类(编码：12.03，可信度:10.38%)
财务管理(专) -- 农学(编码：09，可信度:37.42%);社会学类(编码：03.03，可信度:27.94%);工商管理类(编码：12.02，可信度:27.17%)
毛泽东思想概论 -- 外国语言文学类(编码：05.02，可信度:32.54%);护理学类(编码：10.11，可信度:30.31%);马克思主义理论类(编码：03.05，可信度:29.18%)
体育科学研究方法 -- 教育学类(编码：04.01，可信度:40.37%);民族学类(编码：03.04，可信度:35.48%);社会学类(编码：03.03，可信度:33.46%)
证据法学 -- 力学类(编码：08.01，可信度:8.82%);矿业类(编码：08.15，可信度:7.98%);中药学类(编码：10.08，可信度:7.36%)
会计制度设计 -- 机械类(编码：08.02，可信度:42.63%);纺织类(编码：08.16，可信度:41.73%);电子信息类(编码：08.07，可信度:37.43%)
外国法制史 -- 工业工程类(编码：12.07，可信度:10.63%);测绘类(编码：08.12，可信度:9.91%);教育学(编码：04，可信度:9.48%)
国际经济法学(一) -- 外国语言文学类(编码：05.02，可信度:38.63%);护理学类(编码：10.11，可信度:36.03%);林学类(编码：09.05，可信度:24.38%)
商品学概论 -- 电气类(编码：08.06，可信度:11.23%);机械类(编码：08.02，可信度:8.84%);交通运输类(编码：08.18，可信度:7.49%)
中国现代文学 -- 水利类(编码：08.11，可信度:9.26%);材料类(编码：08.04，可信度:7.82%);核工程类(编码：08.22，可信度:7.52%)
体育史 -- 农业工程类(编码：08.23，可信度:11.6%);交通运输类(编码：08.18，可信度:5.46%);农业经济管理类(编码：12.03，可信度:5.25%)
商法学 -- 教育学(编码：04，可信度:13.03%);历史学(编码：06，可信度:12.41%);经济学(编码：02，可信度:10.75%)
中国政治制度史 -- 外国语言文学类(编码：05.02，可信度:36.28%);林学类(编码：09.05，可信度:30.84%);护理学类(编码：10.11，可信度:29.78%)
环境法 -- 法医学类(编码：10.09，可信度:8.42%);能源动力类(编码：08.05，可信度:8.02%);土木类(编码：08.10，可信度:7.04%)
现代汉语：语法与修辞 -- 外国语言文学类(编码：05.02，可信度:30.09%);护理学类(编码：10.11，可信度:28.58%);历史学类(编码：06.01，可信度:23.08%)
小学课程与教学论 -- 外国语言文学类(编码：05.02，可信度:43.91%);林学类(编码：09.05，可信度:34.29%);护理学类(编码：10.11，可信度:29.89%)
成本会计学 -- 民族学类(编码：03.04，可信度:9.41%);中西医结合类(编码：10.06，可信度:9.37%);工学(编码：08，可信度:9.11%)
古代汉语 -- 外国语言文学类(编码：05.02，可信度:40.68%);护理学类(编码：10.11，可信度:36.72%);文学(编码：05，可信度:33.35%)
刑事诉讼法 -- 中药学类(编码：10.08，可信度:10.44%);兵器类(编码：08.21，可信度:9.04%);中国语言文学类(编码：05.01，可信度:8.88%)
美学 -- 外国语言文学类(编码：05.02，可信度:43.98%);护理学类(编码：10.11，可信度:41.68%);林学类(编码：09.05，可信度:32.47%)
语法 -- 护理学类(编码：10.11，可信度:31.82%);外国语言文学类(编码：05.02，可信度:28.58%);生物工程类(编码：08.30，可信度:24.22%)
电子政务 -- 历史学类(编码：06.01，可信度:11.0%);轻工类(编码：08.17，可信度:6.32%);中国语言文学类(编码：05.01，可信度:6.24%)
国际私法 -- 法学类(编码：03.01，可信度:10.64%);电子商务类(编码：12.08，可信度:9.31%);公共管理类(编码：12.04，可信度:9.19%)
中国现代史专题 -- 文学(编码：05，可信度:33.35%);中国语言文学类(编码：05.01，可信度:29.75%);戏剧与影视学类(编码：13.03，可信度:28.13%)
古生物学与地史学 -- 外国语言文学类(编码：05.02，可信度:34.7%);林学类(编码：09.05，可信度:32.75%);护理学类(编码：10.11，可信度:27.64%)
幼儿教育课程 -- 外国语言文学类(编码：05.02，可信度:28.51%);林学类(编码：09.05，可信度:27.79%);社会学类(编码：03.03，可信度:25.27%)
中国现当代散文研究 -- 文学(编码：05，可信度:34.6%);社会学类(编码：03.03，可信度:27.47%);心理学类(编码：07.11，可信度:23.98%)
语文教学论 -- 历史学类(编码：06.01，可信度:40.05%);外国语言文学类(编码：05.02，可信度:33.92%);护理学类(编码：10.11，可信度:25.18%)
公共财政学 -- 文学(编码：05，可信度:9.42%);中国语言文学类(编码：05.01，可信度:6.74%);兵器类(编码：08.21，可信度:4.1%)
网络营销 -- 图书情报与档案管理类(编码：12.05，可信度:9.35%);公共卫生与预防医学类(编码：10.04，可信度:7.79%);农业经济管理类(编码：12.03，可信度:7.0%)
税法 -- 外国语言文学类(编码：05.02，可信度:39.52%);护理学类(编码：10.11，可信度:35.93%);林学类(编码：09.05，可信度:24.09%)
商品流通概论 -- 中西医结合类(编码：10.06，可信度:12.85%);动物生产类(编码：09.03，可信度:12.59%);药学类(编码：10.07，可信度:10.85%)
公司法学 -- 地质学类(编码：07.09，可信度:13.23%);生物科学类(编码：07.10，可信度:12.89%);理学(编码：07，可信度:12.87%)
金融法 -- 公安技术类(编码：08.31，可信度:13.08%);图书情报与档案管理类(编码：12.05，可信度:10.96%);法医学类(编码：10.09，可信度:10.62%)
唐宋诗词史 -- 外国语言文学类(编码：05.02，可信度:36.4%);林学类(编码：09.05，可信度:34.85%);护理学类(编码：10.11，可信度:28.01%)
法理学 -- 教育学(编码：04，可信度:8.5%);草学类(编码：09.07，可信度:6.82%);教育学类(编码：04.01，可信度:6.14%)
教育法学A -- 林业工程类(编码：08.24，可信度:12.15%);轻工类(编码：08.17，可信度:11.0%);教育学类(编码：04.01，可信度:10.88%)
教育法学B -- 林业工程类(编码：08.24，可信度:12.15%);轻工类(编码：08.17，可信度:11.0%);教育学类(编码：04.01，可信度:10.88%)
外国宪法 -- 教育学(编码：04，可信度:12.16%);电气类(编码：08.06，可信度:11.34%);机械类(编码：08.02，可信度:11.19%)
课程与教学论 -- 外国语言文学类(编码：05.02，可信度:43.91%);林学类(编码：09.05，可信度:34.29%);护理学类(编码：10.11，可信度:29.89%)
现代汉语(一) -- 法学类(编码：03.01，可信度:9.24%);电子商务类(编码：12.08，可信度:8.18%);中药学类(编码：10.08，可信度:7.95%)
比较政治制度 -- 文学(编码：05，可信度:43.68%);外国语言文学类(编码：05.02，可信度:38.59%);林学类(编码：09.05，可信度:30.49%)
经济法概论 -- 外国语言文学类(编码：05.02，可信度:38.63%);护理学类(编码：10.11，可信度:36.03%);林学类(编码：09.05，可信度:24.38%)
劳动法学 -- 自动化类(编码：08.08，可信度:12.55%);力学类(编码：08.01，可信度:10.07%);食品科学与工程类(编码：08.27，可信度:9.76%)
环境法学 -- 法医学类(编码：10.09，可信度:8.42%);能源动力类(编码：08.05，可信度:8.02%);土木类(编码：08.10，可信度:7.04%)
经济法 -- 外国语言文学类(编码：05.02，可信度:38.63%);护理学类(编码：10.11，可信度:36.03%);林学类(编码：09.05，可信度:24.38%)
幼儿园课程 -- 心理学类(编码：07.11，可信度:43.25%);外国语言文学类(编码：05.02，可信度:31.37%);旅游管理类(编码：12.09，可信度:31.15%)
现代礼仪 -- 外国语言文学类(编码：05.02，可信度:43.04%);林学类(编码：09.05，可信度:39.22%);护理学类(编码：10.11，可信度:37.41%)
劳动法 -- 自动化类(编码：08.08，可信度:12.55%);力学类(编码：08.01，可信度:10.07%);食品科学与工程类(编码：08.27，可信度:9.76%)
中国法制史 -- 工业工程类(编码：12.07，可信度:10.63%);测绘类(编码：08.12，可信度:9.91%);教育学(编码：04，可信度:9.48%)
福建地方史 -- 外国语言文学类(编码：05.02，可信度:36.54%);林学类(编码：09.05，可信度:30.76%);护理学类(编码：10.11，可信度:25.9%)
成本会计 -- 民族学类(编码：03.04，可信度:9.41%);中西医结合类(编码：10.06，可信度:9.37%);工学(编码：08，可信度:9.11%)
小学综合实践活动设计 -- 纺织类(编码：08.16，可信度:36.02%);政治学类(编码：03.02，可信度:29.28%);设计学类(编码：13.05，可信度:28.95%)
商务谈判 -- 中药学类(编码：10.08，可信度:9.78%);矿业类(编码：08.15，可信度:8.13%);统计学类(编码：07.12，可信度:8.06%)
广义修辞学简纲 -- 外国语言文学类(编码：05.02，可信度:37.16%);护理学类(编码：10.11，可信度:35.72%);林学类(编码：09.05，可信度:33.61%)
心理咨询学 -- 自然保护与环境生态类(编码：09.02，可信度:8.17%);药学类(编码：10.07，可信度:6.75%);土木类(编码：08.10，可信度:6.59%)
公共政策导论 -- 工学(编码：08，可信度:8.43%);医学(编码：10，可信度:8.42%);社会学类(编码：03.03，可信度:8.05%)
经济法学(二) -- 外国语言文学类(编码：05.02，可信度:38.63%);护理学类(编码：10.11，可信度:36.03%);林学类(编码：09.05，可信度:24.38%)
行政法学 -- 外国语言文学类(编码：05.02，可信度:44.09%);林学类(编码：09.05，可信度:41.23%);社会学类(编码：03.03，可信度:38.64%)
建筑工程概算 -- 生物科学类(编码：07.10，可信度:10.48%);兵器类(编码：08.21，可信度:8.79%);化学类(编码：07.03，可信度:7.23%)
物权法 -- 电子商务类(编码：12.08，可信度:9.14%);新闻传播学类(编码：05.03，可信度:8.13%);生物工程类(编码：08.30，可信度:7.96%)
国际公法 -- 理学(编码：07，可信度:5.67%);地理科学类(编码：07.05，可信度:5.54%);教育学(编码：04，可信度:5.31%)
航空航天概论 -- 外国语言文学类(编码：05.02，可信度:34.31%);纺织类(编码：08.16，可信度:30.42%);护理学类(编码：10.11，可信度:28.76%)
中外幼儿教育史 -- 林学类(编码：09.05，可信度:25.84%);文学(编码：05，可信度:25.71%);心理学类(编码：07.11，可信度:21.56%)
中国古代史专题 -- 文学(编码：05，可信度:33.0%);中国语言文学类(编码：05.01，可信度:30.29%);戏剧与影视学类(编码：13.03，可信度:28.46%)
市政学 -- 物流管理与工程类(编码：12.06，可信度:8.78%);大气科学类(编码：07.06，可信度:6.13%);力学类(编码：08.01，可信度:5.92%)
国家税收 -- 工学(编码：08，可信度:9.53%);心理学类(编码：07.11，可信度:9.21%);动物医学类(编码：09.04，可信度:4.77%)
企业会计 -- 中西医结合类(编码：10.06，可信度:12.58%);临床医学类(编码：10.02，可信度:11.34%);口腔医学类(编码：10.03，可信度:11.23%)
公共政策概论 -- 工学(编码：08，可信度:8.43%);医学(编码：10，可信度:8.42%);社会学类(编码：03.03，可信度:8.05%)
小学语文教学论 -- 历史学类(编码：06.01，可信度:40.05%);外国语言文学类(编码：05.02，可信度:33.92%);护理学类(编码：10.11，可信度:25.18%)
经济法学B -- 外国语言文学类(编码：05.02，可信度:38.63%);护理学类(编码：10.11，可信度:36.03%);林学类(编码：09.05，可信度:24.38%)
人口与青春健康教育 -- 农学(编码：09，可信度:40.89%);公共卫生与预防医学类(编码：10.04，可信度:40.39%);心理学类(编码：07.11，可信度:32.85%)
邓小平理论概述 -- 生物工程类(编码：08.30，可信度:40.65%);哲学类(编码：01.01，可信度:35.84%);林学类(编码：09.05，可信度:34.59%)
商业银行学 -- 电子商务类(编码：12.08，可信度:44.12%);药学类(编码：10.07，可信度:36.26%);管理科学与工程类(编码：12.01，可信度:34.2%)
经济法学A -- 外国语言文学类(编码：05.02，可信度:38.63%);护理学类(编码：10.11，可信度:36.03%);林学类(编码：09.05，可信度:24.38%)
国家税收B -- 工学(编码：08，可信度:9.53%);心理学类(编码：07.11，可信度:9.21%);动物医学类(编码：09.04，可信度:4.77%)
国家税收A -- 工学(编码：08，可信度:9.53%);心理学类(编码：07.11，可信度:9.21%);动物医学类(编码：09.04，可信度:4.77%)
现代汉语(二) -- 法学类(编码：03.01，可信度:9.24%);电子商务类(编码：12.08，可信度:8.18%);中药学类(编码：10.08，可信度:7.95%)
中国古代小说研究 -- 社会学类(编码：03.03，可信度:33.54%);教育学类(编码：04.01，可信度:33.2%);戏剧与影视学类(编码：13.03，可信度:30.99%)
国际商法 -- 教育学(编码：04，可信度:13.03%);历史学(编码：06，可信度:12.41%);经济学(编码：02，可信度:10.75%)
组织行为学 -- 电子商务类(编码：12.08，可信度:37.97%);法学类(编码：03.01，可信度:30.31%);旅游管理类(编码：12.09，可信度:25.07%)
审计案例研究 -- 工商管理类(编码：12.02，可信度:35.97%);管理科学与工程类(编码：12.01，可信度:29.72%);社会学类(编码：03.03，可信度:20.64%)
国际结算 -- 公共卫生与预防医学类(编码：10.04，可信度:8.33%);心理学类(编码：07.11，可信度:7.86%);纺织类(编码：08.16，可信度:6.98%)
中国近代史专题 -- 文学(编码：05，可信度:33.47%);中国语言文学类(编码：05.01，可信度:30.07%);戏剧与影视学类(编码：13.03，可信度:28.69%)
经济法学(一) -- 外国语言文学类(编码：05.02，可信度:38.63%);护理学类(编码：10.11，可信度:36.03%);林学类(编码：09.05，可信度:24.38%)
西方政治制度 -- 文学(编码：05，可信度:43.68%);外国语言文学类(编码：05.02，可信度:38.59%);林学类(编码：09.05，可信度:30.49%)
经营管理学 -- 中药学类(编码：10.08，可信度:10.18%);天文学类(编码：07.04，可信度:8.77%);文学(编码：05，可信度:8.28%)
市场调查与预策决策 -- 社会学类(编码：03.03，可信度:41.18%);外国语言文学类(编码：05.02，可信度:37.81%);护理学类(编码：10.11，可信度:28.12%)
中国古代文论 -- 戏剧与影视学类(编码：13.03，可信度:38.61%);外国语言文学类(编码：05.02，可信度:35.72%);中国语言文学类(编码：05.01，可信度:34.2%)
公共行政学 -- 林学类(编码：09.05，可信度:11.86%);新闻传播学类(编码：05.03，可信度:11.16%);护理学类(编码：10.11，可信度:8.27%)
国土资源概论 -- 土木类(编码：08.10，可信度:12.29%);数学类(编码：07.01，可信度:11.26%);艺术学(编码：13，可信度:9.24%)
幼儿教育史 -- 林学类(编码：09.05，可信度:21.07%);文学(编码：05，可信度:20.02%);外国语言文学类(编码：05.02，可信度:18.34%)
邓小平理论概论 -- 生物工程类(编码：08.30，可信度:40.65%);哲学类(编码：01.01，可信度:35.84%);林学类(编码：09.05，可信度:34.59%)
保险法 -- 林学类(编码：09.05，可信度:6.52%);文学(编码：05，可信度:5.48%);哲学(编码：01，可信度:4.58%)
基础会计学 -- 数学类(编码：07.01，可信度:38.34%);工商管理类(编码：12.02，可信度:36.64%);基础医学类(编码：10.01，可信度:29.81%)
国际私法学 -- 法学类(编码：03.01，可信度:10.64%);电子商务类(编码：12.08，可信度:9.31%);公共管理类(编码：12.04，可信度:9.19%)
基础会计 -- 数学类(编码：07.01，可信度:38.34%);工商管理类(编码：12.02，可信度:36.64%);基础医学类(编码：10.01，可信度:29.81%)
现代汉语 -- 历史学类(编码：06.01，可信度:34.44%);外国语言文学类(编码：05.02，可信度:27.81%);护理学类(编码：10.11，可信度:22.6%)
世界现当代史专题 -- 文学(编码：05，可信度:33.21%);中国语言文学类(编码：05.01，可信度:30.41%);戏剧与影视学类(编码：13.03，可信度:24.27%)
词汇学 -- 管理学(编码：12，可信度:13.71%);艺术学理论类(编码：13.01，可信度:10.18%);天文学类(编码：07.04，可信度:10.1%)
中央银行学 -- 法学(编码：03，可信度:10.84%);农业工程类(编码：08.23，可信度:8.26%);物理学类(编码：07.02，可信度:7.68%)
乡镇规划原理 -- 哲学类(编码：01.01，可信度:43.4%);哲学(编码：01，可信度:38.82%);护理学类(编码：10.11，可信度:37.31%)
宪法学 -- 教育学(编码：04，可信度:12.16%);电气类(编码：08.06，可信度:11.34%);机械类(编码：08.02，可信度:11.19%)
民航概论 -- 法学类(编码：03.01，可信度:8.58%);新闻传播学类(编码：05.03，可信度:7.28%);药学类(编码：10.07，可信度:7.14%)
古代汉语专题 -- 文学(编码：05，可信度:33.07%);中国语言文学类(编码：05.01，可信度:29.99%);戏剧与影视学类(编码：13.03，可信度:28.11%)
刑事诉讼法学 -- 中药学类(编码：10.08，可信度:10.44%);兵器类(编码：08.21，可信度:9.04%);中国语言文学类(编码：05.01，可信度:8.88%)
风险管理 -- 马克思主义理论类(编码：03.05，可信度:8.28%);教育学(编码：04，可信度:7.45%);中国语言文学类(编码：05.01，可信度:6.69%)
幼儿心理卫生与辅导 -- 农学(编码：09，可信度:39.67%);外国语言文学类(编码：05.02，可信度:37.54%);中国语言文学类(编码：05.01，可信度:31.31%)
微观经济学 -- 公安学类(编码：03.06，可信度:10.98%);经济学(编码：02，可信度:9.27%);教育学类(编码：04.01，可信度:9.26%)
基层财务管理 -- 社会学类(编码：03.03，可信度:34.3%);政治学类(编码：03.02，可信度:30.47%);公共管理类(编码：12.04，可信度:29.96%)
房地产法 -- 统计学类(编码：07.12，可信度:12.82%);经济学类(编码：02.01，可信度:10.91%);法医学类(编码：10.09，可信度:10.38%)
房地产法学 -- 统计学类(编码：07.12，可信度:12.82%);经济学类(编码：02.01，可信度:10.91%);法医学类(编码：10.09，可信度:10.38%)
职业生涯设计 -- 机械类(编码：08.02，可信度:42.05%);纺织类(编码：08.16，可信度:41.09%);电子信息类(编码：08.07，可信度:37.43%)
国际经济法 -- 外国语言文学类(编码：05.02，可信度:38.63%);护理学类(编码：10.11，可信度:36.03%);林学类(编码：09.05，可信度:24.38%)
人事行政学 -- 民族学类(编码：03.04，可信度:5.66%);体育学类(编码：04.02，可信度:5.3%);心理学类(编码：07.11，可信度:5.25%)
公司法 -- 地质学类(编码：07.09，可信度:13.23%);生物科学类(编码：07.10，可信度:12.89%);理学(编码：07，可信度:12.87%)
先秦两汉散文史 -- 林学类(编码：09.05，可信度:31.78%);外国语言文学类(编码：05.02，可信度:29.21%);护理学类(编码：10.11，可信度:24.04%)
地方政府学 -- 外国语言文学类(编码：05.02，可信度:32.95%);工商管理类(编码：12.02，可信度:32.16%);林学类(编码：09.05，可信度:23.24%)
票据法 -- 动物生产类(编码：09.03，可信度:11.33%);药学类(编码：10.07，可信度:9.56%);物流管理与工程类(编码：12.06，可信度:9.48%)
商法概论 -- 教育学(编码：04，可信度:13.03%);历史学(编码：06，可信度:12.41%);经济学(编码：02，可信度:10.75%)


ERP概论

